(width (cm), height (cm))
(20.11541438766307, 28.701809671168824)
(15.200086041781336, 27.095070307714877)
(17.200234546952956, 27.669778220491132)
(16.785685905190583, 34.36654587712494)
(20.8917697133121, 31.480353852465935)
(20.41359589938329, 31.091310056669883)
(22.137436541638763, 26.71138648198097)
(15.695510661035328, 32.291267979503495)
(18.375374557482164, 26.634024937619284)
(15.238377755504562, 28.794554417576478)
(16.749103798428827, 34.895233506365955)
(19.042842304826898, 31.399997598540928)
(15.212287757470909, 30.569497437746463)
(16.59070120549319, 31.846142509898748)
(20.199075502236184, 33.4285192018981)
(19.35953184482573, 32.75999911546245)
(16.763524976325574, 27.290480719641042)
(19.71412547100727, 25.321002439040377)
(21.475443653422612, 28.154530480590818)
(15.051990077424488, 27.67740875975703)
(21.446554014662464, 27.109828435863264)
(20.585115159905815, 34.429097143350546)
(17.722004132143937, 33.76367626472669)
(16.24383599849425, 28.14677880798478)
(22.65770457765425, 31.5543866529488)
(17.692756360901015, 28.95631901060664)
(15.741966747041182, 34.14547589740543)
(15.773731014667712, 29.588518525873987)
(21.779954930779677, 27.648801664980525)
(19.82980825093513, 27.466275076939834)
(21.45702618619504, 30.61368134163151)
(20.837854293550542, 27.627416085229353)
(19.289824731637605, 30.845859902235404)
(22.784926111834963, 33.97822883602477)
(18.02827501766683, 28.994005051403974)
(19.416325050185815, 27.193207591572833)
(21.63523731402396, 34.97537606495111)
(19.94815801891397, 30.095262936764644)
(21.89365520248622, 25.90909412173794)
(19.618817162054096, 25.471163754247346)
(20.63657468971939, 26.096491303506593)
(15.366595069245298, 31.2744604170309)
(16.823186205212373, 32.920793643629644)
(17.315103708816856, 29.22159966799684)
(15.63833581538902, 25.63527706151957)
(16.862327090888243, 28.816192865065368)
(15.808011435277834, 34.96121380240097)
(17.223788824880735, 30.29114345099137)
(20.085475554115202, 34.71078377613618)
(17.918657431760675, 33.60779702234498)
